puma_id,statefip,puma,puma_name,cbsa,cbsa_name,overlap_pct,is_metro,is_micro
4805912,48,05912,San Antonio City (Northeast)--Between Loop TX-1604 & Loop I-410,41700,"San Antonio-New Braunfels, TX",1,TRUE,FALSE
4805913,48,05913,"San Antonio (Northeast), Kirby & Windcrest Cities",41700,"San Antonio-New Braunfels, TX",1,TRUE,FALSE
4805914,48,05914,Bexar County (Northwest)--San Antonio (Far Northwest) & Helotes Cities,41700,"San Antonio-New Braunfels, TX",1,TRUE,FALSE
4805915,48,05915,Bexar County (North)--San Antonio City (Far North) & Timberwood Park,41700,"San Antonio-New Braunfels, TX",1,TRUE,FALSE
4805916,48,05916,"Bexar County (Northeast)--San Antonio (Northeast), Universal City & Converse Cities",41700,"San Antonio-New Braunfels, TX",1,TRUE,FALSE
4806000,48,06000,Alamo Area COG (Northwest) & Blanco County,,Non-metropolitan,,FALSE,FALSE
4806100,48,06100,Alamo Area COG (Southwest),41700,"San Antonio-New Braunfels, TX",0.8677,TRUE,FALSE
4806301,48,06301,"South Texas Development Council (North)--Webb County, Laredo City (Central)",29700,"Laredo, TX",1,TRUE,FALSE
4806302,48,06302,South Texas Development Council-Webb County (North & East)-Laredo City (Outer),29700,"Laredo, TX",1,TRUE,FALSE
4806500,48,06500,Coastal Bend COG (Northeast),18580,"Corpus Christi, TX",0.5274,TRUE,FALSE
4806601,48,06601,"Coastal Bend COG--Nueces County, Corpus Christi City (Outer)",18580,"Corpus Christi, TX",1,TRUE,FALSE
4806603,48,06603,"Coastal Bend COG--Nueces County (Central), Corpus Christi City (South Central)",18580,"Corpus Christi, TX",1,TRUE,FALSE
4806604,48,06604,"Coastal Bend COG--Nueces County (Central), Corpus Christi City (Northwest)",18580,"Corpus Christi, TX",1,TRUE,FALSE
4806701,48,06701,Cameron County (East)--Brownsville City (North),15180,"Brownsville-Harlingen, TX",1,TRUE,FALSE
4806702,48,06702,Cameron County (West)--Harlingen & San Benito Cities,15180,"Brownsville-Harlingen, TX",1,TRUE,FALSE
4806703,48,06703,Cameron County (South)--Brownsville City (Central),15180,"Brownsville-Harlingen, TX",1,TRUE,FALSE
